Ranking,PlayerName,Games,Total Scoring,Average,IQR
228.5,Qadree Ollison,12,42.6,4.0,5.0
228.5,Benny Snell Jr.,38,159.5,4.0,5.1
228.5,Ameer Abdullah,29,121.1,4.0,6.4
228.5,Ke'Shawn Vaughn,11,47.5,4.0,7.0
239.0,Bilal Powell,12,35.6,3.0,2.0
239.0,Justice Hill,21,63.0,3.0,2.6
239.0,Dion Lewis,31,103.8,3.0,3.0
239.0,Ty Montgomery,24,71.0,3.0,3.4
239.0,C.J. Prosise,13,33.3,3.0,3.4
247.0,Gabe Nabers,11,22.2,2.0,1.4
247.0,Patrick Ricard,20,42.6,2.0,1.5
247.0,Anthony McFarland Jr.,13,25.2,2.0,1.5
247.0,Andy Janovich,10,24.4,2.0,1.6
247.0,Jakob Johnson,10,20.8,2.0,1.9
247.0,C.J. Ham,34,73.7,2.0,2.4
247.0,Elijhaa Penny,22,44.2,2.0,2.5
247.0,Wendell Smallwood,13,28.4,2.0,2.5
247.0,Tony Jones Jr.,10,23.7,2.0,3.0
247.0,Corey Clement,14,25.1,2.0,3.1
247.0,Alec Ingold,26,59.6,2.0,3.3
254.5,Derek Watt,11,15.6,1.0,0.9
254.5,Alex Armah Jr.,20,24.3,1.0,1.0
254.5,Keith Smith,22,28.9,1.0,1.1
254.5,Michael Burton,15,21.3,1.0,1.2
